name,type,url
หมูทอดกระเทียมพริกไทย,Mild,https://www.unileverfoodsolutions.co.th/dam/global-ufs/mcos/SEA/calcmenu/recipes/TH-recipes/red-meats-&-red-meat-dishes/%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%97%E0%B8%AD%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2%E0%B8%A1/%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%97%E0%B8%AD%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2%E0%B8%A1_header.jpg
ไข่ลูกเขย,Mild,https://s.isanook.com/wo/0/ud/13/68865/68865-thumbnail.jpg
ผัดกะเพราหมูสับ,Mild,https://s.isanook.com/wo/0/ud/36/180929/f.jpg?ip/crop/w670h402/q80/jpg
ผัดผักกระเฉดหมูกรอบ,Mild,https://api2.krua.co/wp-content/uploads/2020/06/SlideBanner_RT0718_1140x507.jpg
ข้าวผัดหมู,Mild,https://clubthaifood.com/wp-content/uploads/2023/10/AnyConv.com__%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%AB%E0%B8%A1%E0%B8%B9.webp
ผัดเผ็ดปลาดุก,Mild,https://i.ytimg.com/vi/s7angnlugLg/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLA15IxyeRB3RjIxGEBrTkq5yETBeA
หมูสับผัดน้ำมันหอย,Mild,https://img.wongnai.com/p/1968x0/2019/10/25/0ee6dc543deb4f46be10b0d344cd8a30.jpg
ผัดผักกวางตุ้ง,Mild,https://i.ytimg.com/vi/KFa-AeJbdYg/maxresdefault.jpg
ผัดดอกขจร,Mild,https://s359.kapook.com/pagebuilder/e4bde82f-0352-461b-8a37-0b99da5b2b0c.jpg
ข้าวไข่เจียว,Mild,https://f.ptcdn.info/689/035/000/1442885991-imagejpeg-o.jpg
ข้าวเหนียวไก่ทอด,Mild,https://api2.krua.co/wp-content/uploads/2024/03/Banner_1140x507-14.jpg
ข้าวมันปลา,Mild,https://api2.krua.co/wp-content/uploads/2020/06/SlideBanner1140x507-163.jpg
ไก่ผัดขิง,Mild,https://i.ytimg.com/vi/84XKf9V7fWA/maxresdefault.jpg
ข้าวเหนียวหมูทอด,Mild,https://yalamarketplace.com/upload/1660892740819.jpg
ต้มเลือดหมู,Mild,https://img.wongnai.com/p/1920x0/2022/08/10/9e62b2503f944c2c9fe12da9d27db36c.jpg
ผัดคะน้าหมูกรอบ,Mild,https://i.ytimg.com/vi/2s3pIDwdFJw/maxresdefault.jpg
ไข่เจียวดาว,Mild,https://api2.krua.co/wp-content/uploads/2021/01/RT1629_ImageBanner_1140x507.jpg
หมูผัดเปรี้ยวหวาน,Mild,https://img-global.cpcdn.com/recipes/1ea4a6ade6e3e6ce/1200x630cq70/photo.jpg
ผัดวุ้นเส้น,Mild,https://i.ytimg.com/vi/KzwKxIN4X0k/maxresdefault.jpg
ข้าวผัดกระเพราเผ็ดน้อย,Mild,https://f.ptcdn.info/104/051/000/optq0r3va516ac23t44-o.jpg
ไข่ต้มยำเผ็ดน้อย,Mild,https://shopee.co.th/blog/wp-content/uploads/2020/04/Shopee-Blog-%E0%B8%A2%E0%B8%B3%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%95%E0%B9%89%E0%B8%A1.jpg
เนื้อผัดพริกหยวก,Mild,https://i.ytimg.com/vi/oRgbtrEqbR4/maxresdefault.jpg
ผัดหมี่โคราช,Mild,https://s359.kapook.com/pagebuilder/e889e95b-5d6e-4b26-937b-6419c0897189.jpg
ข้าวหน้าไข่ข้น,Mild,https://f.ptcdn.info/002/078/000/rfthqz5kyxJmQAqK7rxM-o.jpg
หมูสับผัดถั่วฝักยาว,Mild,https://i.ytimg.com/vi/tpDxfgx3FXo/maxresdefault.jpg
ข้าวไข่ข้นกุ้ง,Mild,https://www.cpbrandsite.com/contents/recipe/be3vva3vsjjjww2xtpjd8urfq62o2usgdgajfdo4.png
ไก่ต้มขมิ้น,Mild,https://www.cpbrandsite.com/contents/recipe/pxwj4rjvhx6m6zqyfrgt4nre7vr6kz8hueo506hs.png
ลาบหมูเผ็ดกลาง,Medium,https://www.sgethai.com/wp-content/uploads/2022/08/Image10-2.webp
ส้มตำไทยเผ็ดกลาง,Medium,https://s359.kapook.com/pagebuilder/2d976efb-6441-4684-bd72-63da127bf141.jpg
น้ำตกหมูเผ็ดกลาง,Medium,https://img.kapook.com/u/wanwanat/Thai%20pork%20salad.jpg
